"question","reponse_correcte","autres_reponses_fausses","theme","explication"
"Pourquoi voulez-vous devenir Français ?","Cela fait 6 ans que je suis en France et pendant toute cette période, je me suis senti chez moi ! J'ai pu concrétiser les objectifs professionnels que j'avais depuis mon plus jeune âge grâce à ce pays qui sait donner les opportunités aux jeunes travailleurs et assurer leurs avenirs de façon égale. Je voudrais faire partie de cette communauté parce qu'elle adopte beaucoup de valeurs que ça soit dans la vie personnelle ou professionnelle. De plus, la France favorise de très bonnes relations humaines et respecte les droits de l'homme, la liberté et l'égalité. Le temps que j’ai passé en France m'a fait découvrir beaucoup d'avantages comme je viens de citer précédemment. Je me suis senti et je me sens toujours bien accueilli et chaleureusement traité par mes amis et collègues de travail.","[]","Entretien::Motivation","Réponse très personnelle et détaillée, à utiliser pour le simulateur d'entretien."
"Combien de fois rentrez-vous à votre pays ?","Je rentre une à deux fois par an pour visiter mes parents.","[]","Entretien::Vie Quotidienne","Fréquence des voyages pour juger de l'ancrage."
"Avez-vous des liens en France ?","Oui, j’ai des membres de la famille en IDF et au sud, j’ai également beaucoup d’amis ici en France.","[]","Entretien::Liens Sociaux","Démontrer l'existence d'un cercle social et familial en France."
"Quelle langue parlez-vous au travail ?","Anglais et français.","[]","Entretien::Langue","Évaluer la maîtrise de la langue française dans un cadre professionnel."
"Faites-vous partie d’une association ?","Honnêtement non. Je n’ai pas encore eu l’occasion d’intégrer une association vu mon rythme de vie. Mes journées sont chargées du fait de la nature de mon travail et je m’entraîne durant le weekend vu que je suis membre du club d’escrime de …","[]","Entretien::Intégration","Question sur l'engagement associatif (civisme), la réponse est honnête et justifie l'absence d'engagement par l'activité sportive."
"Quelles sont les nationalités des personnes de votre entourage ?","Mon entourage est de diverses nationalité, mais la plupart sont français. Vu la diversité culturelle de la France, mon entourage est de différentes nationalités mais la plupart des personnes que je connais sont françaises. Par exemple mes voisins sont français, la majorité de mes collègues de travail le sont aussi mais y'a également des étrangers, et parmi mes amis y'a des français, des polonais, des italiens...etc. Je trouve personnellement que c'est facile de s'intégrer ici en France et de s'ouvrir sur d'autres cultures.","[]","Entretien::Liens Sociaux","Évaluer la diversité de l'entourage et le degré d'intégration dans la société française."
"Envoyez-vous de l’argent à votre pays d’origine ?","De temps en temps notamment pendant les fêtes pour faire plaisir à mes parents et mes petits frères. Je suis l’aîné et je ne les vois pas souvent, du coup j’aime bien leur offrir des cadeaux et les gâter.","[]","Entretien::Finances","Évaluer l'autonomie financière et la prépondérance du centre d'intérêt."
"Quelles sont les villes de France que vous avez visitées ?","Cet été j’ai visité la côte d’azur, et dernièrement je suis allé à La Rochelle.","[]","Entretien::Vie Quotidienne","Évaluer la connaissance du territoire français au-delà du lieu de résidence."
"Qu’avez-vous en France que vous n’avez pas dans votre pays ?","D’une part, il y’a l’aspect professionnel. La formation que j’ai suivie ici est plus exhaustive qu’au Maroc et il y’a plus d’opportunités pour une évolution de carrière dans ce domaine. En France, j’ai pu rapidement concrétiser des objectifs que je voyais loin ce qui m’a permis de bien avancer dans ma vie professionnelle. D’autre part, la liberté et la sécurité représentent pour moi des points primordiaux pour mener une vie zen sur le long terme, et c’est ce que j’ai retrouvé ici.","[]","Entretien::Motivation","Réponse comparative pour juger de l'attachement à la France et ses avantages (professionnels, libertés, sécurité)."
"Quelle est la devise (valeurs) de la République ?","L’égalité, soit tous les citoyens ont les mêmes droits et devoirs, et sont soumis aux mêmes lois, peu importe leur sexe, origine, religion ou orientation sexuelle. La liberté, à savoir la liberté d’expression, la liberté de croyance, la liberté de pensée, la liberté de se réunir... c’est-à-dire que toutes les libertés fondamentales sont garanties. La fraternité, c’est-à-dire que la France est fondée sur la volonté du vivre ensemble et cette dernière se traduit par la solidarité entre les citoyens. Nous pouvons également rajouter une 4ème valeur qui est la laïcité, elle signifie que l’Etat est neutre envers les religions (il n’aide aucune religion et celle-ci concerne la vie privée de chacun), et il garantit la liberté religieuse (chacun est libre de croire ou de ne pas croire et adopter la religion qu’il veut).","[]","Valeurs","Définition complète des valeurs de la République."
"Avez-vous le droit de tout expliquer publiquement ?","Non car il y’a des limites afin de respecter les droits d’autrui. Du coup il est interdit de diffuser des injures, des propos diffamatoires ou des provocations à la haine.","[]","Valeurs","Évaluer la connaissance des limites de la liberté d'expression (cf. Livret du citoyen)."
"Quels sont les 3 principes de la laïcité ?","La liberté de conscience, la séparation entre les pouvoirs publics et religieux, et l’égalité devant la loi quel que soit la religion.","[]","Valeurs","Connaissance des fondements de la laïcité."
"Quand la France est devenue laïque ?","La France est devenue laïque en 1905.","[]","Histoire","Date clé de l'instauration de la laïcité (Loi de séparation des Églises et de l'État)."
"Qu’est-ce que la démocratie ?","Ça veut dire que le gouvernement du peuple est par le peuple et pour le peuple. Le pouvoir politique fonctionne selon des règles et les lois traitent tous les citoyens de façon égale.","[]","Institutions","Définition du principe démocratique et de l'État de droit."
"Etes-vous d’accord avec la démocratie ?","Évidemment. La loi est la même pour tous et seule la démocratie instaure et garantit les libertés individuelles. Et il me semble également que le peuple a le droit de choisir la personne qui va le représenter. Tant qu’ils l’ont choisi c’est-à-dire qu’ils voient en lui la personne qui les mènera vers l’avant et subviendra à leurs besoins.","[]","Entretien::Valeurs","Jugement personnel et adhésion au principe démocratique."
